Number,Course Title,Year,Term,GPA,Total,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,YearTerm
296,Honors Course,2014,sp,3.698666666666667,105,3,75,5,3,8,6,0,3,0,0,2,0,0,2014-sp
296,Honors Course,2015,fa,3.77,26,7,9,6,1,2,1,0,0,0,0,0,0,0,2015-fa
296,Honors Course,2015,sp,3.4824468085106384,94,8,52,7,3,13,1,0,4,0,0,2,0,4,2015-sp
296,Honors Course,2016,fa,3.76948717948718,117,7,83,14,4,0,1,2,3,1,1,0,0,1,2016-fa
296,Honors Course,2016,sp,3.7971264367816087,87,11,47,13,10,4,2,0,0,0,0,0,0,0,2016-sp
296,Honors Course,2017,fa,3.70828125,128,4,104,0,2,6,0,0,9,0,0,0,0,3,2017-fa
296,Honors Course,2017,sp,3.940841121495328,107,42,55,5,4,0,0,0,1,0,0,0,0,0,2017-sp
296,Honors Course,2018,fa,3.825365853658536,82,0,72,2,0,3,2,0,2,0,0,0,0,1,2018-fa
296,Honors Course,2018,sp,3.4361538461538466,39,13,13,5,2,1,0,0,1,0,0,0,0,4,2018-sp
357,Numerical Methods I,2010,fa,2.5606730769230768,104,8,23,0,14,7,0,5,14,12,0,15,0,6,2010-fa
357,Numerical Methods I,2010,sp,3.3179452054794516,146,2,56,25,14,20,12,2,5,3,0,1,2,4,2010-sp
357,Numerical Methods I,2011,fa,3.129151515151515,165,9,37,18,26,25,11,19,7,9,0,2,0,2,2011-fa
357,Numerical Methods I,2011,sp,3.1524999999999994,168,14,28,25,31,28,5,15,10,4,2,5,0,1,2011-sp
357,Numerical Methods I,2012,fa,3.030227272727273,132,2,30,13,28,18,12,3,12,4,1,6,0,3,2012-fa
357,Numerical Methods I,2013,fa,3.2062903225806454,186,33,28,28,22,30,11,10,11,3,1,4,2,3,2013-fa
357,Numerical Methods I,2013,sp,3.4623076923076934,195,2,91,42,7,22,11,4,6,3,0,4,0,3,2013-sp
357,Numerical Methods I,2014,fa,2.9731838565022417,223,7,61,23,20,30,20,11,19,4,13,7,3,5,2014-fa
357,Numerical Methods I,2014,sp,2.7931313131313127,198,5,19,23,26,35,27,19,16,9,8,3,6,2,2014-sp
357,Numerical Methods I,2015,fa,3.1076262626262627,198,0,51,24,32,33,14,17,8,7,6,3,3,0,2015-fa
357,Numerical Methods I,2015,sp,2.9765757575757577,330,7,93,23,35,49,18,29,35,13,12,9,3,4,2015-sp
357,Numerical Methods I,2016,fa,3.1397233201581023,253,12,113,20,18,15,12,9,11,7,11,12,4,9,2016-fa
357,Numerical Methods I,2016,sp,2.6852747252747253,273,12,25,30,24,50,25,26,31,19,7,10,7,7,2016-sp
357,Numerical Methods I,2017,fa,3.0,433,49,86,43,48,55,30,31,36,13,12,11,5,14,2017-fa
357,Numerical Methods I,2017,sp,2.9938567493112953,363,59,47,52,35,31,34,32,25,15,8,8,5,12,2017-sp
357,Numerical Methods I,2018,fa,3.1015051020408166,392,39,100,44,35,50,30,19,27,20,7,8,4,9,2018-fa
357,Numerical Methods I,2018,sp,3.0545789473684213,380,29,65,70,50,48,22,32,19,12,9,8,9,7,2018-sp
361,Prob & Stat for Computer Sci,2016,fa,3.373333333333333,66,12,16,7,14,6,1,4,2,2,0,1,0,1,2016-fa
361,Prob & Stat for Computer Sci,2017,fa,3.505142857142857,35,4,20,5,2,0,0,0,0,1,0,0,0,3,2017-fa
361,Prob & Stat for Computer Sci,2017,sp,3.41234375,64,8,21,14,3,6,6,1,1,0,0,2,1,1,2017-sp
361,Prob & Stat for Computer Sci,2018,fa,2.939740259740259,77,9,20,10,4,7,5,3,2,3,4,4,1,5,2018-fa
361,Prob & Stat for Computer Sci,2018,sp,3.196,80,10,32,7,4,9,1,0,7,1,1,2,0,6,2018-sp
373,Theory of Computation,2010,fa,3.0244370860927146,151,8,16,21,21,31,21,15,6,6,5,1,0,0,2010-fa
373,Theory of Computation,2010,sp,2.574523809523809,126,8,18,6,9,15,12,9,14,13,7,4,11,0,2010-sp
373,Theory of Computation,2011,fa,2.636549295774648,142,6,17,16,7,16,17,17,21,10,4,2,2,7,2011-fa
373,Theory of Computation,2011,sp,2.8732380952380963,105,5,19,6,10,19,13,7,14,5,0,6,0,1,2011-sp
373,Theory of Computation,2012,fa,3.2306432748538008,171,10,64,22,15,11,7,5,9,25,2,0,0,1,2012-fa
373,Theory of Computation,2012,sp,3.2051282051282053,39,11,9,1,3,4,1,1,4,2,0,3,0,0,2012-sp
373,Theory of Computation,2013,fa,3.1966666666666668,195,7,51,28,29,23,17,14,11,9,6,0,0,0,2013-fa
373,Theory of Computation,2013,sp,3.2269060773480667,181,12,60,19,16,16,18,9,19,10,1,0,0,1,2013-sp
373,Theory of Computation,2014,sp,2.841888111888112,143,5,26,21,7,15,14,14,24,6,4,3,1,3,2014-sp
374,Intro to Algs & Models of Comp,2016,fa,2.5036523929471035,397,14,45,27,31,38,42,53,40,33,38,17,5,14,2016-fa
374,Intro to Algs & Models of Comp,2017,fa,2.5554411764705884,408,7,41,33,38,35,50,65,51,33,33,8,6,8,2017-fa
374,Intro to Algs & Models of Comp,2017,sp,2.7663970588235296,408,20,51,28,46,67,45,46,32,38,17,7,5,6,2017-sp
374,Intro to Algs & Models of Comp,2018,fa,2.69860310421286,451,21,65,47,45,38,50,47,38,37,28,14,7,14,2018-fa
374,Intro to Algs & Models of Comp,2018,sp,2.6555204460966544,538,17,86,46,62,37,61,34,57,40,59,23,9,7,2018-sp
411,Database Systems,2010,fa,3.2296,125,14,30,14,11,20,10,10,9,7,0,0,0,0,2010-fa
411,Database Systems,2010,sp,3.061018518518518,108,5,16,10,26,16,6,15,9,2,1,1,1,0,2010-sp
411,Database Systems,2011,fa,3.097380952380953,168,4,34,27,25,23,19,16,7,4,4,1,3,1,2011-fa
411,Database Systems,2011,sp,3.13125,184,8,26,36,21,36,33,7,8,4,1,1,1,2,2011-sp
411,Database Systems,2012,fa,3.199042553191489,188,20,44,22,16,38,18,4,11,6,2,4,2,1,2012-fa
411,Database Systems,2012,sp,3.536785714285714,28,1,8,11,2,3,1,1,1,0,0,0,0,0,2012-sp
411,Database Systems,2013,fa,2.7585051546391743,194,9,26,18,12,32,31,14,20,18,2,1,6,5,2013-fa
411,Database Systems,2013,sp,3.582786885245901,183,16,87,12,15,43,0,2,8,0,0,0,0,0,2013-sp
411,Database Systems,2014,fa,3.2232124352331613,193,19,40,21,21,41,24,6,12,7,1,1,0,0,2014-fa
411,Database Systems,2014,sp,3.5644615384615386,195,15,82,27,11,46,8,3,2,0,0,1,0,0,2014-sp
411,Database Systems,2015,fa,3.533247422680412,194,31,65,31,12,30,17,2,3,1,0,0,0,2,2015-fa
